                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15    | Core 16    | Core 17    | Core 18    | Core 19    | Core 20    | Core 21    | Core 22    | Core 23    | Core 24    | Core 25    | Core 26    | Core 27    | Core 28    | Core 29    | Core 30    | Core 31    | Core 32    | Core 33    | Core 34    | Core 35    | Core 36    | Core 37    | Core 38    | Core 39    | Core 40    | Core 41    | Core 42    | Core 43    | Core 44    | Core 45    | Core 46    | Core 47    | Core 48    | Core 49    | Core 50    | Core 51    | Core 52    | Core 53    | Core 54    | Core 55    | Core 56    | Core 57    | Core 58    | Core 59    | Core 60    | Core 61    | Core 62    | Core 63   
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |     534666 |     479947 |     480734 |     480367 |     479925 |     479503 |     479918 |     479933 |     479900 |     480269 |     480331 |     479923 |     480329 |     479427 |     480333 |     479891 |     479493 |     479502 |     479919 |     479914 |     479928 |     479910 |     479924 |     479904 |     479493 |     479916 |     479908 |     479902 |     479911 |     479936 |     479898 |     479914 |     479507 |     479912 |     479500 |     479949 |     479491 |     479496 |     479426 |     479950 |     479495 |     479498 |     479504 |     479489 |     479510 |     479498 |     479919 |     479498 |     479912 |     479495 |     479918 |     479924 |     479918 |     479919 |     479450 |     479900 |     479926 |     479904 |     479495 |     479497 |     479913 |     479430 |     479424 |     479490
    num cache misses                 |      11892 |      13780 |      13785 |      13699 |      13749 |      13949 |      13642 |      13905 |      13694 |      13685 |      13693 |      13676 |      13671 |      13704 |      13734 |      13913 |      13697 |      13693 |      13832 |      13850 |      13644 |      13665 |      13668 |      13668 |      13628 |      13695 |      13640 |      13717 |      13649 |      13646 |      13929 |      13616 |      13632 |      13689 |      14492 |      13826 |      13678 |      13693 |      13783 |      13917 |      13690 |      13690 |      13896 |      13817 |      13613 |      13555 |      13897 |      13832 |      13719 |      13696 |      13937 |      13929 |      13755 |      13606 |      13779 |      13954 |      13665 |      13672 |      13937 |      13868 |      13727 |      13686 |      13876 |      13893
    miss rate                        |      2.22% |      2.87% |      2.87% |      2.85% |      2.86% |      2.91% |      2.84% |      2.90% |      2.85% |      2.85% |      2.85% |      2.85% |      2.85% |      2.86% |      2.86% |      2.90% |      2.86% |      2.86% |      2.88% |      2.89% |      2.84% |      2.85% |      2.85% |      2.85% |      2.84% |      2.85% |      2.84% |      2.86% |      2.84% |      2.84% |      2.90% |      2.84% |      2.84% |      2.85% |      3.02% |      2.88% |      2.85% |      2.86% |      2.87% |      2.90% |      2.86% |      2.86% |      2.90% |      2.88% |      2.84% |      2.83% |      2.90% |      2.88% |      2.86% |      2.86% |      2.90% |      2.90% |      2.87% |      2.84% |      2.87% |      2.91% |      2.85% |      2.85% |      2.91% |      2.89% |      2.86% |      2.85% |      2.89% |      2.90%
    mpki                             |       5.51 |       6.72 |       6.72 |       6.68 |       6.71 |       6.81 |       6.65 |       6.78 |       6.68 |       6.67 |       6.67 |       6.67 |       6.66 |       6.69 |       6.69 |       6.79 |       6.68 |       6.68 |       6.75 |       6.75 |       6.65 |       6.66 |       6.67 |       6.67 |       6.65 |       6.68 |       6.65 |       6.69 |       6.66 |       6.65 |       6.79 |       6.64 |       6.65 |       6.68 |       7.07 |       6.74 |       6.67 |       6.68 |       6.73 |       6.79 |       6.68 |       6.68 |       6.78 |       6.74 |       6.64 |       6.61 |       6.78 |       6.75 |       6.69 |       6.68 |       6.80 |       6.79 |       6.71 |       6.64 |       6.72 |       6.81 |       6.66 |       6.67 |       6.80 |       6.77 |       6.69 |       6.68 |       6.77 |       6.78
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      12436 |      14178 |      14174 |      14053 |      14114 |      14307 |      13995 |      14266 |      14055 |      14057 |      14065 |      14023 |      14040 |      14076 |      14092 |      14272 |      14054 |      14054 |      14197 |      14191 |      14013 |      14013 |      14028 |      14026 |      13988 |      14048 |      14005 |      14061 |      14014 |      14005 |      14700 |      13969 |      13996 |      14047 |      15539 |      14181 |      14043 |      14084 |      14145 |      14278 |      14054 |      14048 |      14261 |      14158 |      13983 |      13906 |      14253 |      14187 |      14082 |      14054 |      14312 |      14283 |      14133 |      13962 |      14137 |      14307 |      14038 |      14041 |      14304 |      14213 |      14100 |      14055 |      14240 |      14250
    num cache misses                 |       8590 |      11537 |      11540 |      11451 |      11525 |      11710 |      11415 |      11682 |      11463 |      11473 |      11474 |      11438 |      11456 |      11400 |      11507 |      11717 |      11484 |      11467 |      11613 |      11616 |      11433 |      11433 |      11439 |      11440 |      11413 |      11476 |      11424 |      11477 |      11443 |      11427 |      11816 |      11400 |      11433 |      11471 |      12464 |      11610 |      11401 |      11449 |      11557 |      11720 |      11499 |      11487 |      11697 |      11595 |      11416 |      11349 |      11686 |      11554 |      11517 |      11479 |      11728 |      11691 |      11560 |      11380 |      11557 |      11729 |      11441 |      11443 |      11693 |      11605 |      11493 |      11452 |      11646 |      11660
    miss rate                        |     69.07% |     81.37% |     81.42% |     81.48% |     81.66% |     81.85% |     81.56% |     81.89% |     81.56% |     81.62% |     81.58% |     81.57% |     81.60% |     80.99% |     81.66% |     82.10% |     81.71% |     81.59% |     81.80% |     81.85% |     81.59% |     81.59% |     81.54% |     81.56% |     81.59% |     81.69% |     81.57% |     81.62% |     81.65% |     81.59% |     80.38% |     81.61% |     81.69% |     81.66% |     80.21% |     81.87% |     81.19% |     81.29% |     81.70% |     82.08% |     81.82% |     81.77% |     82.02% |     81.90% |     81.64% |     81.61% |     81.99% |     81.44% |     81.79% |     81.68% |     81.95% |     81.85% |     81.79% |     81.51% |     81.75% |     81.98% |     81.50% |     81.50% |     81.75% |     81.65% |     81.51% |     81.48% |     81.78% |     81.82%
    mpki                             |       3.98 |       5.63 |       5.62 |       5.58 |       5.62 |       5.71 |       5.57 |       5.70 |       5.59 |       5.59 |       5.59 |       5.58 |       5.58 |       5.56 |       5.61 |       5.71 |       5.60 |       5.60 |       5.66 |       5.66 |       5.58 |       5.58 |       5.58 |       5.58 |       5.57 |       5.60 |       5.57 |       5.60 |       5.58 |       5.57 |       5.76 |       5.56 |       5.58 |       5.59 |       6.08 |       5.66 |       5.56 |       5.59 |       5.64 |       5.72 |       5.61 |       5.61 |       5.71 |       5.66 |       5.57 |       5.54 |       5.70 |       5.64 |       5.62 |       5.60 |       5.72 |       5.70 |       5.64 |       5.55 |       5.64 |       5.72 |       5.58 |       5.58 |       5.71 |       5.66 |       5.61 |       5.59 |       5.68 |       5.69
  Cache L3                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |       9439 |      12332 |      12333 |      12241 |      12317 |      12500 |      12200 |      12471 |      12246 |      12260 |      12265 |      12230 |      12248 |      12190 |      12291 |      12498 |      12264 |      12257 |      12408 |      12405 |      12228 |      12217 |      12228 |      12232 |      12197 |      12266 |      12217 |      12268 |      12235 |      12218 |      13022 |      12187 |      12217 |      12260 |      13853 |      12407 |      12192 |      12277 |      12351 |      12501 |      12283 |      12276 |      12487 |      12386 |      12207 |      12134 |      12477 |      12340 |      12301 |      12271 |      12516 |      12485 |      12353 |      12167 |      12345 |      12501 |      12228 |      12237 |      12487 |      12396 |      12283 |      12239 |      12434 |      12438
    num cache misses                 |       5069 |       8021 |       7880 |       8300 |      10520 |      10655 |      10348 |      10589 |      10392 |      10537 |      10287 |      10350 |      10391 |      10330 |      10401 |      10631 |      10380 |      10462 |      10457 |      10652 |      10404 |      10346 |      10381 |      10339 |      10346 |      10361 |      10294 |      10548 |      10290 |      10330 |      10786 |      10434 |      10361 |      10562 |      11445 |      10484 |      10332 |      10445 |      10508 |      10627 |      10434 |      10534 |      10634 |      10500 |      10327 |      10316 |      10625 |      10512 |      10507 |      10481 |      10598 |      10618 |      10417 |      10278 |      10631 |      10707 |      10358 |      10404 |      10613 |      10650 |      10369 |      10426 |      10757 |      10501
    miss rate                        |     53.70% |     65.04% |     63.89% |     67.80% |     85.41% |     85.24% |     84.82% |     84.91% |     84.86% |     85.95% |     83.87% |     84.63% |     84.84% |     84.74% |     84.62% |     85.06% |     84.64% |     85.36% |     84.28% |     85.87% |     85.08% |     84.69% |     84.90% |     84.52% |     84.82% |     84.47% |     84.26% |     85.98% |     84.10% |     84.55% |     82.83% |     85.62% |     84.81% |     86.15% |     82.62% |     84.50% |     84.74% |     85.08% |     85.08% |     85.01% |     84.95% |     85.81% |     85.16% |     84.77% |     84.60% |     85.02% |     85.16% |     85.19% |     85.42% |     85.41% |     84.68% |     85.05% |     84.33% |     84.47% |     86.12% |     85.65% |     84.71% |     85.02% |     84.99% |     85.91% |     84.42% |     85.19% |     86.51% |     84.43%
    mpki                             |       2.35 |       3.91 |       3.84 |       4.05 |       5.13 |       5.20 |       5.05 |       5.16 |       5.07 |       5.14 |       5.01 |       5.05 |       5.07 |       5.04 |       5.07 |       5.18 |       5.06 |       5.10 |       5.10 |       5.19 |       5.07 |       5.05 |       5.06 |       5.04 |       5.05 |       5.05 |       5.02 |       5.14 |       5.02 |       5.04 |       5.26 |       5.09 |       5.06 |       5.15 |       5.58 |       5.11 |       5.04 |       5.10 |       5.13 |       5.18 |       5.09 |       5.14 |       5.19 |       5.12 |       5.04 |       5.03 |       5.18 |       5.13 |       5.12 |       5.11 |       5.17 |       5.18 |       5.08 |       5.01 |       5.19 |       5.22 |       5.05 |       5.07 |       5.18 |       5.20 |       5.06 |       5.09 |       5.25 |       5.12
DRAM summary                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |      27230 |          0 |          0 |          0 |      26602 |          0 |          0 |          0 |      27568 |          0 |          0 |          0 |      26623 |          0 |          0 |          0 |      26575 |          0 |          0 |          0 |      26404 |          0 |          0 |          0 |      26222 |          0 |          0 |          0 |      26175 |          0 |          0 |          0 |      26303 |          0 |          0 |          0 |      26196 |          0 |          0 |          0 |      26602 |          0 |          0 |          0 |      26588 |          0 |          0 |          0 |      97705 |          0 |          0 |          0 |     145893 |          0 |          0 |          0 |      79799 |          0 |          0 |          0 |      25637 |          0 |          0 |          0
  average dram access latency (ns)   |     519.47 |        inf |        inf |        inf |     536.37 |        inf |        inf |        inf |     663.42 |        inf |        inf |        inf |     656.10 |        inf |        inf |        inf |     454.87 |        inf |        inf |        inf |     445.34 |        inf |        inf |        inf |     328.29 |        inf |        inf |        inf |     339.20 |        inf |        inf |        inf |     507.17 |        inf |        inf |        inf |     512.73 |        inf |        inf |        inf |     625.04 |        inf |        inf |        inf |     618.21 |        inf |        inf |        inf |     372.82 |        inf |        inf |        inf |     783.16 |        inf |        inf |        inf |     160.37 |        inf |        inf |        inf |     352.84 |        inf |        inf |        inf
  average dram queueing delay        |     466.04 |       0.00 |       0.00 |       0.00 |     482.94 |       0.00 |       0.00 |       0.00 |     609.99 |       0.00 |       0.00 |       0.00 |     602.67 |       0.00 |       0.00 |       0.00 |     401.44 |       0.00 |       0.00 |       0.00 |     391.91 |       0.00 |       0.00 |       0.00 |     274.86 |       0.00 |       0.00 |       0.00 |     285.77 |       0.00 |       0.00 |       0.00 |     453.74 |       0.00 |       0.00 |       0.00 |     459.30 |       0.00 |       0.00 |       0.00 |     571.61 |       0.00 |       0.00 |       0.00 |     564.78 |       0.00 |       0.00 |       0.00 |     319.39 |       0.00 |       0.00 |       0.00 |     729.73 |       0.00 |       0.00 |       0.00 |     106.94 |       0.00 |       0.00 |       0.00 |     299.41 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |     13.00% |      0.00% |      0.00% |      0.00% |     13.00% |      0.00% |      0.00% |      0.00% |     13.00% |      0.00% |      0.00% |      0.00% |     13.00% |      0.00% |      0.00% |      0.00% |     13.00% |      0.00% |      0.00% |      0.00% |     13.00% |      0.00% |      0.00% |      0.00% |     13.00% |      0.00% |      0.00% |      0.00% |     13.00% |      0.00% |      0.00% |      0.00% |     13.00% |      0.00% |      0.00% |      0.00% |     13.00% |      0.00% |      0.00% |      0.00% |     13.00% |      0.00% |      0.00% |      0.00% |     13.00% |      0.00% |      0.00% |      0.00% |     48.00% |      0.00% |      0.00% |      0.00% |     72.00% |      0.00% |      0.00% |      0.00% |     39.00% |      0.00% |      0.00% |      0.00% |     12.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num loads from dram                |        683 |       4485 |       4530 |       4456 |       4319 |       4490 |       4259 |       4580 |       4285 |       4244 |       4232 |       4233 |       4197 |       4150 |       4246 |       4467 |       4299 |       4191 |       4376 |       4399 |       4197 |       4256 |       4226 |       4375 |       4227 |       4249 |       4185 |       4277 |       4254 |       4191 |       4631 |       4181 |       4251 |       4192 |       5108 |       4343 |       4092 |       4199 |       4548 |       4570 |       4333 |       4204 |       4547 |       4466 |       4280 |       4158 |       4465 |       4309 |       4277 |       4229 |       4437 |       4432 |       4278 |       4161 |       4393 |       4473 |       4228 |       4313 |       4574 |       4494 |       4361 |       4239 |       4476 |       4421
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |       2134 |       1960 |       1958 |       1963 |       3928 |       3923 |       3857 |       3810 |       3875 |       3938 |       3905 |       3908 |       3938 |       3930 |       3954 |       3921 |       3888 |       3978 |       3910 |       3948 |       3939 |       3878 |       3889 |       3748 |       3888 |       3924 |       3919 |       3926 |       3866 |       3924 |       3906 |       3919 |       3898 |       3982 |       4001 |       3967 |       3990 |       3932 |       3721 |       3828 |       3883 |       3990 |       3858 |       3848 |       3839 |       3925 |       3914 |       3931 |       3930 |       3981 |       3976 |       3968 |       3966 |       3933 |       3910 |       3934 |       3933 |       3847 |       3835 |       3843 |       3823 |       3929 |       3931 |       3929
