                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15    | Core 16    | Core 17    | Core 18    | Core 19    | Core 20    | Core 21    | Core 22    | Core 23    | Core 24    | Core 25    | Core 26    | Core 27    | Core 28    | Core 29    | Core 30    | Core 31    | Core 32    | Core 33    | Core 34    | Core 35    | Core 36    | Core 37    | Core 38    | Core 39    | Core 40    | Core 41    | Core 42    | Core 43    | Core 44    | Core 45    | Core 46    | Core 47    | Core 48    | Core 49    | Core 50    | Core 51    | Core 52    | Core 53    | Core 54    | Core 55    | Core 56    | Core 57    | Core 58    | Core 59    | Core 60    | Core 61    | Core 62    | Core 63   
  mpki                               |       5.88 |       6.03 |       6.03 |       6.02 |       6.03 |       6.02 |       6.03 |       6.03 |       6.02 |       6.04 |       6.03 |       6.02 |       6.03 |       6.02 |       6.03 |       6.03 |       6.02 |       6.02 |       6.02 |       6.03 |       6.03 |       6.02 |       6.03 |       6.03 |       6.02 |       6.03 |       6.03 |       6.02 |       6.03 |       6.03 |       6.03 |       6.02 |       6.02 |       6.03 |       6.02 |       6.03 |       6.02 |       6.02 |       6.02 |       6.03 |       6.02 |       6.02 |       6.02 |       6.02 |       6.02 |       6.02 |       6.03 |       6.02 |       6.02 |       6.02 |       6.03 |       6.03 |       6.03 |       6.02 |       6.02 |       6.03 |       6.03 |       6.03 |       6.02 |       6.02 |       6.03 |       6.03 |       6.03 |       6.02
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |     170685 |     153797 |     154066 |     153969 |     153815 |     153663 |     153813 |     153814 |     153771 |     153911 |     153936 |     153786 |     153921 |     153601 |     153924 |     153750 |     153612 |     153610 |     153762 |     153762 |     153766 |     153737 |     153765 |     153728 |     153588 |     153744 |     153722 |     153714 |     153733 |     153750 |     153711 |     153729 |     153576 |     153702 |     153561 |     153728 |     153552 |     153551 |     153541 |     153711 |     153549 |     153547 |     153544 |     153525 |     153557 |     153529 |     153692 |     153524 |     153669 |     153522 |     153678 |     153678 |     153675 |     153656 |     153486 |     153636 |     153665 |     153633 |     153495 |     153492 |     153622 |     153449 |     153462 |     153481
    num misses                       |         39 |         39 |         38 |         39 |         38 |         38 |         38 |         38 |         38 |         39 |         38 |         38 |         38 |         40 |         38 |         38 |         38 |         39 |         38 |         38 |         38 |         38 |         38 |         38 |         38 |         38 |         38 |         38 |         38 |         38 |         38 |         38 |         38 |         38 |         38 |         38 |         38 |         38 |         39 |         38 |         38 |         38 |         38 |         38 |         38 |         38 |         38 |         38 |         38 |         38 |         38 |         38 |         38 |         38 |         39 |         38 |         38 |         38 |         38 |         38 |         38 |         39 |         39 |         38
    miss rate                        |      0.02% |      0.03% |      0.02% |      0.03% |      0.02% |      0.02% |      0.02% |      0.02% |      0.02% |      0.03% |      0.02% |      0.02% |      0.02% |      0.03% |      0.02% |      0.02% |      0.02% |      0.03% |      0.02% |      0.02% |      0.02% |      0.02% |      0.02% |      0.02% |      0.02% |      0.02% |      0.02% |      0.02% |      0.02% |      0.02% |      0.02% |      0.02% |      0.02% |      0.02% |      0.02% |      0.02% |      0.02% |      0.02% |      0.03% |      0.02% |      0.02% |      0.02% |      0.02% |      0.02% |      0.02% |      0.02% |      0.02% |      0.02% |      0.02% |      0.02% |      0.02% |      0.02% |      0.02% |      0.02% |      0.03% |      0.02% |      0.02% |      0.02% |      0.02% |      0.02% |      0.02% |      0.03% |      0.03% |      0.02%
    mpki                             |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02
  D-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |     534666 |     479947 |     480734 |     480367 |     479925 |     479503 |     479918 |     479933 |     479900 |     480269 |     480331 |     479923 |     480329 |     479427 |     480333 |     479891 |     479493 |     479502 |     479919 |     479914 |     479928 |     479910 |     479924 |     479904 |     479493 |     479916 |     479908 |     479902 |     479911 |     479936 |     479898 |     479914 |     479507 |     479912 |     479500 |     479949 |     479491 |     479496 |     479426 |     479950 |     479495 |     479498 |     479504 |     479489 |     479510 |     479498 |     479919 |     479498 |     479912 |     479495 |     479918 |     479924 |     479918 |     479919 |     479450 |     479900 |     479926 |     479904 |     479495 |     479497 |     479913 |     479430 |     479424 |     479490
    num misses                       |       1996 |       1718 |       1725 |       1705 |       1700 |       1700 |       1701 |       1703 |       1700 |       1703 |       1703 |       1703 |       1705 |       1700 |       1705 |       1702 |       1700 |       1698 |       1701 |       1703 |       1704 |       1701 |       1703 |       1703 |       1700 |       1701 |       1700 |       1701 |       1702 |       1703 |       1701 |       1703 |       1700 |       1700 |       1700 |       1703 |       1700 |       1701 |       1699 |       1703 |       1699 |       1698 |       1699 |       1698 |       1698 |       1699 |       1704 |       1700 |       1702 |       1700 |       1703 |       1705 |       1704 |       1701 |       1700 |       1702 |       1701 |       1701 |       1699 |       1700 |       1700 |       1697 |       1699 |       1701
    miss rate                        |      0.37% |      0.36% |      0.36% |      0.35% |      0.35% |      0.35% |      0.35% |      0.35% |      0.35% |      0.35% |      0.35% |      0.35% |      0.35% |      0.35% |      0.35% |      0.35% |      0.35% |      0.35% |      0.35% |      0.35% |      0.36% |      0.35% |      0.35% |      0.35% |      0.35% |      0.35% |      0.35% |      0.35% |      0.35% |      0.35% |      0.35% |      0.35% |      0.35% |      0.35% |      0.35% |      0.35% |      0.35% |      0.35% |      0.35% |      0.35% |      0.35% |      0.35% |      0.35% |      0.35% |      0.35% |      0.35% |      0.36% |      0.35% |      0.35% |      0.35% |      0.35% |      0.36% |      0.36% |      0.35% |      0.35% |      0.35% |      0.35% |      0.35% |      0.35% |      0.35% |      0.35% |      0.35% |      0.35% |      0.35%
    mpki                             |       0.92 |       0.84 |       0.84 |       0.83 |       0.83 |       0.83 |       0.83 |       0.83 |       0.83 |       0.83 |       0.83 |       0.83 |       0.83 |       0.83 |       0.83 |       0.83 |       0.83 |       0.83 |       0.83 |       0.83 |       0.83 |       0.83 |       0.83 |       0.83 |       0.83 |       0.83 |       0.83 |       0.83 |       0.83 |       0.83 |       0.83 |       0.83 |       0.83 |       0.83 |       0.83 |       0.83 |       0.83 |       0.83 |       0.83 |       0.83 |       0.83 |       0.83 |       0.83 |       0.83 |       0.83 |       0.83 |       0.83 |       0.83 |       0.83 |       0.83 |       0.83 |       0.83 |       0.83 |       0.83 |       0.83 |       0.83 |       0.83 |       0.83 |       0.83 |       0.83 |       0.83 |       0.83 |       0.83 |       0.83
  L2 TLB                             |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
