                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15    | Core 16    | Core 17    | Core 18    | Core 19    | Core 20    | Core 21    | Core 22    | Core 23    | Core 24    | Core 25    | Core 26    | Core 27    | Core 28    | Core 29    | Core 30    | Core 31   
    num accesses                     |     979211 |     952622 |     952255 |     951887 |     951899 |     951478 |     951442 |     952265 |     952255 |     952278 |     951869 |     951866 |     951464 |     951452 |     952298 |     952620 |     951455 |     951456 |     951365 |     951471 |     951394 |     951444 |     951467 |     951443 |     951765 |     951451 |     951889 |     951854 |     951852 |     951461 |     951433 |     951377
    num misses                       |       2015 |       1836 |       1827 |       1822 |       1816 |       1791 |       1791 |       1811 |       1806 |       1805 |       1806 |       1807 |       1788 |       1787 |       1816 |       1821 |       1799 |       1801 |       1797 |       1798 |       1794 |       1793 |       1786 |       1789 |       1805 |       1784 |       1805 |       1810 |       1808 |       1790 |       1799 |       1797
    miss rate                        |      0.21% |      0.19% |      0.19% |      0.19% |      0.19% |      0.19% |      0.19% |      0.19% |      0.19% |      0.19% |      0.19% |      0.19% |      0.19% |      0.19% |      0.19% |      0.19% |      0.19% |      0.19% |      0.19% |      0.19% |      0.19% |      0.19% |      0.19% |      0.19% |      0.19% |      0.19% |      0.19% |      0.19% |      0.19% |      0.19% |      0.19% |      0.19%
    mpki                             |       0.49 |       0.45 |       0.45 |       0.45 |       0.45 |       0.44 |       0.44 |       0.44 |       0.44 |       0.44 |       0.44 |       0.44 |       0.44 |       0.44 |       0.45 |       0.45 |       0.44 |       0.44 |       0.44 |       0.44 |       0.44 |       0.44 |       0.44 |       0.44 |       0.44 |       0.44 |       0.44 |       0.44 |       0.44 |       0.44 |       0.44 |       0.44
  L2 TLB                             |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |       2052 |       1875 |       1865 |       1861 |       1854 |       1822 |       1822 |       1849 |       1844 |       1843 |       1844 |       1845 |       1819 |       1818 |       1854 |       1860 |       1830 |       1832 |       1830 |       1829 |       1826 |       1824 |       1817 |       1820 |       1844 |       1815 |       1843 |       1848 |       1846 |       1821 |       1830 |       1830
    num misses                       |       1816 |       1732 |       1720 |       1704 |       1700 |       1671 |       1677 |       1702 |       1712 |       1714 |       1715 |       1706 |       1682 |       1681 |       1708 |       1706 |       1675 |       1681 |       1686 |       1680 |       1681 |       1675 |       1680 |       1675 |       1707 |       1679 |       1698 |       1700 |       1712 |       1678 |       1682 |       1682
    miss rate                        |     88.50% |     92.37% |     92.23% |     91.56% |     91.69% |     91.71% |     92.04% |     92.05% |     92.84% |     93.00% |     93.00% |     92.47% |     92.47% |     92.46% |     92.13% |     91.72% |     91.53% |     91.76% |     92.13% |     91.85% |     92.06% |     91.83% |     92.46% |     92.03% |     92.57% |     92.51% |     92.13% |     91.99% |     92.74% |     92.15% |     91.91% |     91.91%
    mpki                             |       0.44 |       0.43 |       0.42 |       0.42 |       0.42 |       0.41 |       0.41 |       0.42 |       0.42 |       0.42 |       0.42 |       0.42 |       0.41 |       0.41 |       0.42 |       0.42 |       0.41 |       0.41 |       0.41 |       0.41 |       0.41 |       0.41 |       0.41 |       0.41 |       0.42 |       0.41 |       0.42 |       0.42 |       0.42 |       0.41 |       0.41 |       0.41
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |     313405 |     305296 |     305140 |     305049 |     305068 |     304905 |     304896 |     305181 |     305150 |     305164 |     305018 |     305034 |     304877 |     304867 |     305164 |     305264 |     304866 |     304854 |     304817 |     304851 |     304819 |     304844 |     304843 |     304839 |     304955 |     304829 |     304997 |     304962 |     304973 |     304837 |     304823 |     304791
    num cache misses                 |        562 |        494 |        481 |        443 |        440 |        397 |        394 |        439 |        435 |        450 |        437 |        436 |        395 |        381 |        435 |        447 |        390 |        390 |        394 |        387 |        378 |        383 |        384 |        388 |        441 |        392 |        434 |        440 |        446 |        391 |        393 |        391
    miss rate                        |      0.18% |      0.16% |      0.16% |      0.15% |      0.14% |      0.13% |      0.13% |      0.14% |      0.14% |      0.15% |      0.14% |      0.14% |      0.13% |      0.12% |      0.14% |      0.15% |      0.13% |      0.13% |      0.13% |      0.13% |      0.12% |      0.13% |      0.13% |      0.13% |      0.14% |      0.13% |      0.14% |      0.14% |      0.15% |      0.13% |      0.13% |      0.13%
    mpki                             |       0.14 |       0.12 |       0.12 |       0.11 |       0.11 |       0.10 |       0.10 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.10 |       0.09 |       0.11 |       0.11 |       0.10 |       0.10 |       0.10 |       0.10 |       0.09 |       0.09 |       0.09 |       0.10 |       0.11 |       0.10 |       0.11 |       0.11 |       0.11 |       0.10 |       0.10 |       0.10
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |     979211 |     952622 |     952255 |     951887 |     951899 |     951478 |     951442 |     952265 |     952255 |     952278 |     951869 |     951866 |     951464 |     951452 |     952298 |     952620 |     951455 |     951456 |     951365 |     951471 |     951394 |     951444 |     951467 |     951443 |     951765 |     951451 |     951889 |     951854 |     951852 |     951461 |     951433 |     951377
    num cache misses                 |      20376 |      23587 |      23354 |      23189 |      23175 |      23113 |      23315 |      23344 |      23302 |      23285 |      23292 |      23146 |      23181 |      23220 |      23354 |      23191 |      23086 |      23241 |      23096 |      23103 |      23274 |      23131 |      23117 |      23090 |      23314 |      23220 |      23330 |      23176 |      23352 |      23254 |      23101 |      23092
    miss rate                        |      2.08% |      2.48% |      2.45% |      2.44% |      2.43% |      2.43% |      2.45% |      2.45% |      2.45% |      2.45% |      2.45% |      2.43% |      2.44% |      2.44% |      2.45% |      2.43% |      2.43% |      2.44% |      2.43% |      2.43% |      2.45% |      2.43% |      2.43% |      2.43% |      2.45% |      2.44% |      2.45% |      2.43% |      2.45% |      2.44% |      2.43% |      2.43%
    mpki                             |       4.94 |       5.79 |       5.74 |       5.70 |       5.69 |       5.68 |       5.73 |       5.73 |       5.72 |       5.72 |       5.72 |       5.69 |       5.70 |       5.71 |       5.74 |       5.70 |       5.67 |       5.71 |       5.68 |       5.68 |       5.72 |       5.68 |       5.68 |       5.67 |       5.73 |       5.71 |       5.73 |       5.69 |       5.74 |       5.72 |       5.68 |       5.68
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      20989 |      24473 |      23861 |      23672 |      23633 |      23532 |      23997 |      23809 |      23760 |      23756 |      23753 |      23603 |      23594 |      23623 |      23813 |      23659 |      23497 |      23651 |      23513 |      23512 |      23744 |      23535 |      23527 |      23497 |      23778 |      23635 |      23784 |      23637 |      23816 |      23671 |      23512 |      23499
    num cache misses                 |      17506 |      20803 |      20477 |      20317 |      20283 |      20182 |      20501 |      20420 |      20412 |      20400 |      20396 |      20227 |      20237 |      20306 |      20472 |      20289 |      20177 |      20328 |      20156 |      20138 |      20310 |      20169 |      20178 |      20148 |      20413 |      20294 |      20412 |      20258 |      20486 |      20293 |      20140 |      20169
    miss rate                        |     83.41% |     85.00% |     85.82% |     85.83% |     85.82% |     85.76% |     85.43% |     85.77% |     85.91% |     85.87% |     85.87% |     85.70% |     85.77% |     85.96% |     85.97% |     85.76% |     85.87% |     85.95% |     85.72% |     85.65% |     85.54% |     85.70% |     85.77% |     85.75% |     85.85% |     85.86% |     85.82% |     85.70% |     86.02% |     85.73% |     85.66% |     85.83%
    mpki                             |       4.24 |       5.11 |       5.03 |       4.99 |       4.98 |       4.96 |       5.04 |       5.02 |       5.01 |       5.01 |       5.01 |       4.97 |       4.97 |       4.99 |       5.03 |       4.98 |       4.96 |       5.00 |       4.95 |       4.95 |       4.99 |       4.96 |       4.96 |       4.95 |       5.02 |       4.99 |       5.02 |       4.98 |       5.03 |       4.99 |       4.95 |       4.96
  Cache L3                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      17569 |      21196 |      20506 |      20357 |      20301 |      20206 |      20800 |      20456 |      20439 |      20421 |      20419 |      20248 |      20259 |      20327 |      20500 |      20310 |      20201 |      20348 |      20179 |      20164 |      20405 |      20194 |      20208 |      20172 |      20443 |      20316 |      20431 |      20286 |      20507 |      20329 |      20162 |      20194
    num cache misses                 |       7032 |      11416 |      11943 |      11818 |      16156 |      16145 |      16512 |      16324 |      16366 |      16232 |      16157 |      16099 |      16130 |      16180 |      16246 |      16260 |      16239 |      16165 |      16049 |      16035 |      16278 |      15921 |      16099 |      16141 |      16430 |      16021 |      16278 |      16052 |      16382 |      16287 |      16114 |      15980
    miss rate                        |     40.03% |     53.86% |     58.24% |     58.05% |     79.58% |     79.90% |     79.38% |     79.80% |     80.07% |     79.49% |     79.13% |     79.51% |     79.62% |     79.60% |     79.25% |     80.06% |     80.39% |     79.44% |     79.53% |     79.52% |     79.77% |     78.84% |     79.67% |     80.02% |     80.37% |     78.86% |     79.67% |     79.13% |     79.88% |     80.12% |     79.92% |     79.13%
    mpki                             |       1.70 |       2.80 |       2.93 |       2.90 |       3.97 |       3.97 |       4.06 |       4.01 |       4.02 |       3.99 |       3.97 |       3.96 |       3.96 |       3.98 |       3.99 |       3.99 |       3.99 |       3.97 |       3.94 |       3.94 |       4.00 |       3.91 |       3.96 |       3.97 |       4.04 |       3.94 |       4.00 |       3.94 |       4.03 |       4.00 |       3.96 |       3.93
DRAM summary                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |      49392 |          0 |          0 |          0 |      49214 |          0 |          0 |          0 |      49470 |          0 |          0 |          0 |      49075 |          0 |          0 |          0 |      52425 |          0 |          0 |          0 |      49391 |          0 |          0 |          0 |      49316 |          0 |          0 |          0 |      48900 |          0 |          0 |          0
  average dram access latency (ns)   |     504.86 |        inf |        inf |        inf |     481.49 |        inf |        inf |        inf |     475.01 |        inf |        inf |        inf |     474.46 |        inf |        inf |        inf |     502.61 |        inf |        inf |        inf |     478.21 |        inf |        inf |        inf |     480.29 |        inf |        inf |        inf |     475.20 |        inf |        inf |        inf
  average dram queueing delay        |     451.44 |       0.00 |       0.00 |       0.00 |     428.06 |       0.00 |       0.00 |       0.00 |     421.58 |       0.00 |       0.00 |       0.00 |     421.03 |       0.00 |       0.00 |       0.00 |     449.18 |       0.00 |       0.00 |       0.00 |     424.78 |       0.00 |       0.00 |       0.00 |     426.86 |       0.00 |       0.00 |       0.00 |     421.77 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |     38.00% |      0.00% |      0.00% |      0.00% |     38.00% |      0.00% |      0.00% |      0.00% |     38.00% |      0.00% |      0.00% |      0.00% |     37.00% |      0.00% |      0.00% |      0.00% |     40.00% |      0.00% |      0.00% |      0.00% |     38.00% |      0.00% |      0.00% |      0.00% |     38.00% |      0.00% |      0.00% |      0.00% |     37.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num loads from dram                |        874 |       5349 |       5258 |       5053 |       4412 |       4618 |       4822 |       4921 |       4840 |       5169 |       4823 |       4783 |       4791 |       4839 |       4880 |       4745 |       4743 |       4822 |       4755 |       4558 |       4906 |       4307 |       4668 |       4324 |       4874 |       4333 |       4862 |       4340 |       4857 |       4419 |       4558 |       4597
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |       3702 |       3638 |       3629 |       3614 |       7661 |       7421 |       7567 |       7321 |       7353 |       6964 |       7323 |       7226 |       7314 |       7302 |       7310 |       7349 |       7298 |       7345 |       7285 |       7470 |       7303 |       7614 |       7379 |       7676 |       7340 |       7687 |       7321 |       7690 |       7375 |       7762 |       7468 |       7422
